asset_code,date,close,source_name,source_type,source_priority,url_or_path,evidence_level,as_of
270042,2024-05-06,5.4621,Eastmoney/Tiantian Fund historical NAV API,public_aggregation,5,https://api.fund.eastmoney.com/f10/lsjz?fundCode=270042&pageIndex=1&pageSize=20&startDate=2024-04-30&endDate=2026-06-14,Medium,2026-06-14
270042,2024-05-07,5.4616,Eastmoney/Tiantian Fund historical NAV API,public_aggregation,5,https://api.fund.eastmoney.com/f10/lsjz?fundCode=270042&pageIndex=1&pageSize=20&startDate=2024-04-30&endDate=2026-06-14,Medium,2026-06-14
270042,2024-05-08,5.4604,Eastmoney/Tiantian Fund historical NAV API,public_aggregation,5,https://api.fund.eastmoney.com/f10/lsjz?fundCode=270042&pageIndex=1&pageSize=20&startDate=2024-04-30&endDate=2026-06-14,Medium,2026-06-14
270042,2024-05-09,5.4698,Eastmoney/Tiantian Fund historical NAV API,public_aggregation,5,https://api.fund.eastmoney.com/f10/lsjz?fundCode=270042&pageIndex=1&pageSize=20&startDate=2024-04-30&endDate=2026-06-14,Medium,2026-06-14
270042,2024-05-10,5.4821,Eastmoney/Tiantian Fund historical NAV API,public_aggregation,5,https://api.fund.eastmoney.com/f10/lsjz?fundCode=270042&pageIndex=1&pageSize=20&startDate=2024-04-30&endDate=2026-06-14,Medium,2026-06-14
270042,2024-05-13,5.4928,Eastmoney/Tiantian Fund historical NAV API,public_aggregation,5,https://api.fund.eastmoney.com/f10/lsjz?fundCode=270042&pageIndex=1&pageSize=20&startDate=2024-04-30&endDate=2026-06-14,Medium,2026-06-14
270042,2024-05-14,5.532,Eastmoney/Tiantian Fund historical NAV API,public_aggregation,5,https://api.fund.eastmoney.com/f10/lsjz?fundCode=270042&pageIndex=1&pageSize=20&startDate=2024-04-30&endDate=2026-06-14,Medium,2026-06-14
270042,2024-05-15,5.6143,Eastmoney/Tiantian Fund historical NAV API,public_aggregation,5,https://api.fund.eastmoney.com/f10/lsjz?fundCode=270042&pageIndex=1&pageSize=20&startDate=2024-04-30&endDate=2026-06-14,Medium,2026-06-14
270042,2024-05-16,5.6015,Eastmoney/Tiantian Fund historical NAV API,public_aggregation,5,https://api.fund.eastmoney.com/f10/lsjz?fundCode=270042&pageIndex=1&pageSize=20&startDate=2024-04-30&endDate=2026-06-14,Medium,2026-06-14
270042,2024-05-17,5.5984,Eastmoney/Tiantian Fund historical NAV API,public_aggregation,5,https://api.fund.eastmoney.com/f10/lsjz?fundCode=270042&pageIndex=1&pageSize=20&startDate=2024-04-30&endDate=2026-06-14,Medium,2026-06-14
270042,2024-05-20,5.636,Eastmoney/Tiantian Fund historical NAV API,public_aggregation,5,https://api.fund.eastmoney.com/f10/lsjz?fundCode=270042&pageIndex=1&pageSize=20&startDate=2024-04-30&endDate=2026-06-14,Medium,2026-06-14
270042,2024-05-21,5.649,Eastmoney/Tiantian Fund historical NAV API,public_aggregation,5,https://api.fund.eastmoney.com/f10/lsjz?fundCode=270042&pageIndex=1&pageSize=20&startDate=2024-04-30&endDate=2026-06-14,Medium,2026-06-14
270042,2024-05-22,5.6468,Eastmoney/Tiantian Fund historical NAV API,public_aggregation,5,https://api.fund.eastmoney.com/f10/lsjz?fundCode=270042&pageIndex=1&pageSize=20&startDate=2024-04-30&endDate=2026-06-14,Medium,2026-06-14
270042,2024-05-23,5.6248,Eastmoney/Tiantian Fund historical NAV API,public_aggregation,5,https://api.fund.eastmoney.com/f10/lsjz?fundCode=270042&pageIndex=1&pageSize=20&startDate=2024-04-30&endDate=2026-06-14,Medium,2026-06-14
270042,2024-05-24,5.6799,Eastmoney/Tiantian Fund historical NAV API,public_aggregation,5,https://api.fund.eastmoney.com/f10/lsjz?fundCode=270042&pageIndex=1&pageSize=20&startDate=2024-04-30&endDate=2026-06-14,Medium,2026-06-14
270042,2024-05-27,5.6788,Eastmoney/Tiantian Fund historical NAV API,public_aggregation,5,https://api.fund.eastmoney.com/f10/lsjz?fundCode=270042&pageIndex=1&pageSize=20&startDate=2024-04-30&endDate=2026-06-14,Medium,2026-06-14
